"","MSZoning","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","Exterior1st","Exterior2nd","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleCondition","GarageYrBlt","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","LotFrontage","MasVnrArea","Electrical","MoSold","YrSold","SalePrice","t"
"264","RM","Reg","Lvl","OldTown","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","LwQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1974",50,5500,5,7,1929,2001,234,0,926,926,0,1316,1,1,0,3,1,6,0,2,484,0,0,50,0,"SBrkr",4,2010,130000,Apr 2010
"265","RM","IR3","Bnk","OldTown","1Fam","1Story","Wd Sdng","Wd Sdng","TA","BrkTil","Fa","No","Unf","Gd","N","TA","Typ","None","Detchd","Unf","TA","TA","N","Normal","1965",30,5232,5,5,1925,2004,0,680,680,764,0,764,0,1,0,2,1,4,0,2,504,0,0,30,0,"FuseP",6,2008,73000,Jun 2008
"266","RL","IR1","Lvl","NWAmes","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","Gd","No","GLQ","TA","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1981",20,12090,6,6,1981,1981,588,606,1422,1422,0,1422,0,2,0,3,1,7,1,2,576,276,0,78,210,"SBrkr",6,2008,175500,Jun 2008
"267","RL","IR1","HLS","Gilbert","1Fam","2Story","VinylSd","VinylSd","TA","PConc","Gd","Av","GLQ","Gd","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1997",60,11207,6,5,1997,1997,714,88,802,802,709,1511,1,2,1,3,1,8,1,2,413,95,75,70,0,"SBrkr",6,2006,185000,Jun 2006
"268","RL","Reg","Bnk","SWISU","1Fam","2.5Fin","Wd Sdng","Wd Sdng","TA","PConc","TA","No","LwQ","Ex","Y","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","Normal","1939",75,8400,5,8,1939,1997,378,342,720,1052,720,2192,0,2,1,4,1,8,1,1,240,262,24,60,0,"SBrkr",7,2008,179500,Jul 2008
"269","RM","Reg","Lvl","IDOTRR","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","Gd","Detchd","Fin","Ex","Ex","Y","Normal","1966",30,6900,5,6,1940,1955,403,212,740,778,0,778,0,1,0,2,1,4,1,1,924,0,25,71,0,"SBrkr",2,2008,120500,Feb 2008
"270","RL","IR1","Lvl","Edwards","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","BLQ","TA","Y","TA","Typ","Fa","Attchd","RFn","TA","Gd","Y","Normal","1987",20,7917,6,7,1976,1976,751,392,1143,1113,0,1113,1,1,1,3,1,6,1,1,504,370,30,70,174,"SBrkr",5,2007,148000,May 2007
"271","FV","Reg","Lvl","Somerst","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Mn","Unf","Gd","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Partial","2006",60,10728,8,5,2006,2006,0,1095,1095,1095,844,1939,0,2,1,3,1,8,1,3,1053,192,51,84,0,"SBrkr",8,2006,266000,Aug 2006
"272","RL","IR1","Low","ClearCr","1Fam","1Story","Plywood","Plywood","TA","CBlock","Gd","Gd","LwQ","Ex","Y","TA","Mod","TA","Attchd","Unf","TA","TA","Y","Normal","1954",20,39104,7,7,1954,2005,226,96,1385,1363,0,1363,1,1,0,2,1,5,2,2,439,81,0,73,0,"SBrkr",4,2008,241500,Apr 2008
"273","RL","IR1","Lvl","NoRidge","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1999",60,11764,8,7,1999,2007,524,628,1152,1164,1106,2270,0,2,1,4,1,9,1,3,671,132,57,92,348,"SBrkr",4,2010,290000,Apr 2010
"274","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","Gd","Y","TA","Min1","Gd","Attchd","RFn","TA","TA","Y","Normal","1958",20,9600,6,6,1958,1988,620,0,1240,1632,0,1632,1,2,0,3,1,6,1,1,338,289,0,80,183,"SBrkr",4,2009,139000,Apr 2009
"275","RL","Reg","Lvl","Mitchel","1Fam","1Story","HdBoard","ImStucc","TA","CBlock","TA","Gd","ALQ","TA","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1982",20,8314,5,7,1982,1982,546,270,816,816,0,816,0,1,0,2,1,5,0,1,264,168,0,76,0,"SBrkr",6,2007,124500,Jun 2007
"276","RL","Reg","Lvl","BrkSide","1Fam","1.5Fin","Wd Sdng","Wd Sdng","Gd","BrkTil","TA","No","Unf","Gd","N","Ex","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1978",50,7264,7,7,1925,2007,0,952,952,952,596,1548,0,2,1,3,1,5,0,2,672,74,0,55,0,"SBrkr",10,2009,205000,Oct 2009
"277","RL","IR1","Lvl","Mitchel","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","No","Unf","Ex","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Normal","2003",20,9196,7,5,2003,2003,0,1560,1560,1560,0,1560,0,2,0,3,1,7,0,2,573,100,150,129,0,"SBrkr",4,2010,201000,Apr 2010
"278","RL","Reg","Lvl","Gilbert","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","LwQ","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1951",20,19138,4,5,1951,1951,120,744,864,864,0,864,0,1,0,2,1,4,0,2,400,0,0,140,0,"SBrkr",6,2010,141000,Jun 2010
"279","RL","Reg","Lvl","NridgHt","1Fam","1Story","CemntBd","CmentBd","Ex","PConc","Ex","Gd","Unf","Ex","Y","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Partial","2007",20,14450,9,5,2006,2007,0,2121,2121,2121,0,2121,0,2,1,3,1,8,1,3,732,124,98,107,315,"SBrkr",5,2007,415298,May 2007
"280","RL","Reg","Lvl","ClearCr","1Fam","2Story","Plywood","Plywood","TA","CBlock","Gd","No","BLQ","Ex","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1977",60,10005,7,5,1977,1977,392,768,1160,1156,866,2022,0,2,1,4,1,8,1,2,505,288,117,83,299,"SBrkr",3,2008,192000,Mar 2008
"281","RL","Reg","Lvl","SawyerW","1Fam","2Story","Plywood","Plywood","Gd","CBlock","Gd","Av","GLQ","Gd","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1989",60,11287,7,6,1989,1989,421,386,807,1175,807,1982,0,2,1,3,1,7,1,2,575,0,84,82,340,"SBrkr",1,2007,228500,Jan 2007
"282","FV","Reg","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Gd","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Partial","2006",20,7200,6,5,2006,2006,905,357,1262,1262,0,1262,0,2,0,2,1,5,0,2,572,0,120,60,68,"SBrkr",5,2006,185000,May 2006
"283","RL","Reg","Lvl","NridgHt","Twnhs","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2008",120,5063,7,5,2007,2008,904,410,1314,1314,0,1314,1,2,0,2,1,6,1,2,626,172,62,34,166,"SBrkr",4,2009,207500,Apr 2009
"284","RL","Reg","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Partial","2008",20,9612,8,5,2008,2009,0,1468,1468,1468,0,1468,0,2,0,3,1,6,1,3,898,210,150,74,72,"SBrkr",12,2009,244600,Dec 2009
"285","RL","Reg","Lvl","SawyerW","TwnhsE","1Story","Plywood","ImStucc","Gd","PConc","Gd","No","GLQ","Gd","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1992",120,8012,6,5,1992,1992,430,1145,1575,1575,0,1575,1,2,0,2,1,5,0,2,529,0,0,50,0,"SBrkr",7,2007,179200,Jul 2007
"286","FV","IR1","Lvl","Somerst","TwnhsE","2Story","MetalSd","MetalSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","None","Detchd","RFn","TA","TA","Y","Partial","2006",160,4251,7,5,2006,2007,0,625,625,625,625,1250,0,2,1,2,1,5,0,2,528,0,54,35,0,"SBrkr",6,2007,164700,Jun 2007
"287","RL","IR1","Bnk","NAmes","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","TA","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1962",50,9786,6,7,1962,1981,600,312,912,1085,649,1734,0,1,1,3,1,7,1,2,440,0,0,77,0,"SBrkr",6,2006,159000,Jun 2006
"288","RL","IR1","Lvl","NAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","BLQ","TA","Y","TA","Typ","None","None","None","None","None","Y","Normal","None",20,8125,4,4,1971,1971,614,244,858,858,0,858,0,1,0,3,1,5,0,0,0,0,0,65,0,"SBrkr",6,2006,88000,Jun 2006
"289","RL","IR1","Lvl","Sawyer","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","TA","No","BLQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1970",20,9819,5,5,1967,1967,450,432,882,900,0,900,0,1,0,3,1,5,0,1,280,0,0,77,31,"SBrkr",2,2010,122000,Feb 2010
"290","RL","Reg","Lvl","BrkSide","1Fam","2Story","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","2003",70,8730,6,7,1915,2003,0,698,698,698,698,1396,0,1,0,3,1,7,0,1,384,0,0,60,0,"FuseA",7,2007,153575,Jul 2007
"291","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","Unf","Ex","Y","Gd","Typ","Gd","Attchd","RFn","Gd","TA","Y","Partial","2006",60,15611,8,5,2006,2006,0,1079,1079,1079,840,1919,0,2,1,3,1,8,1,2,685,0,51,120,0,"SBrkr",7,2006,233230,Jul 2006
"292","RL","Reg","Bnk","SWISU","2fmCon","2Story","VinylSd","VinylSd","TA","PConc","TA","No","Rec","Ex","N","Fa","Typ","None","None","None","None","None","N","Normal","None",190,5687,5,6,1912,2000,210,570,780,936,780,1716,1,2,0,6,1,9,0,0,0,0,184,55,0,"SBrkr",3,2008,135900,Mar 2008
"293","RL","Reg","Lvl","Edwards","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","LwQ","Gd","Y","TA","Min2","Gd","Attchd","Unf","TA","TA","Y","Normal","1949",50,11409,5,4,1949,2008,292,476,768,1148,568,1716,0,1,1,3,1,8,1,1,281,0,0,60,0,"SBrkr",1,2009,131000,Jan 2009
"294","RL","IR1","Lvl","NWAmes","1Fam","2Story","Plywood","Plywood","TA","CBlock","TA","No","ALQ","Fa","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1977",60,16659,7,7,1977,1994,795,0,795,1468,795,2263,1,2,1,3,1,9,1,2,539,0,250,120,34,"SBrkr",3,2006,235000,Mar 2006
"295","RL","Reg","Lvl","NAmes","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","GLQ","TA","Y","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1953",20,9600,6,5,1953,1953,1285,131,1416,1644,0,1644,1,1,0,3,1,7,2,2,418,110,0,80,238,"SBrkr",10,2009,167000,Oct 2009
"296","RL","IR1","Lvl","Mitchel","1Fam","SLvl","HdBoard","HdBoard","TA","CBlock","TA","Av","GLQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1984",80,7937,6,6,1984,1984,819,184,1003,1003,0,1003,1,1,0,3,1,6,0,2,588,120,0,37,0,"SBrkr",3,2006,142500,Mar 2006
"297","RM","Reg","Lvl","IDOTRR","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","BLQ","TA","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1950",50,13710,5,5,1950,1950,420,490,910,910,648,1558,0,1,1,4,1,6,0,1,282,289,0,75,0,"FuseA",6,2007,152000,Jun 2007
"298","FV","IR1","Lvl","Somerst","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","BLQ","Ex","Y","Gd","Typ","TA","Detchd","RFn","TA","TA","Y","Normal","1997",60,7399,7,5,1997,1998,649,326,975,975,975,1950,0,2,1,3,1,7,1,2,576,0,10,66,1600,"SBrkr",6,2007,239000,Jun 2007
"299","RL","Reg","Lvl","NWAmes","1Fam","2Story","HdBoard","AsphShn","Gd","CBlock","TA","No","ALQ","Gd","Y","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Normal","1968",60,11700,6,6,1968,1968,384,143,702,1041,702,1743,0,1,2,3,1,7,1,2,539,224,0,90,365,"SBrkr",6,2007,175000,Jun 2007
"300","RL","Reg","Lvl","Crawfor","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","Unf","Ex","Y","Gd","Typ","Gd","Attchd","Unf","TA","TA","Y","Family","1950",20,14000,6,8,1950,2004,0,1092,1092,1152,0,1152,0,1,0,3,1,6,1,1,300,0,36,80,0,"SBrkr",8,2009,158500,Aug 2009
"301","RL","Reg","Lvl","Crawfor","2fmCon","1Story","MetalSd","MetalSd","TA","CBlock","TA","Mn","BLQ","TA","Y","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Normal","1953",190,15750,5,5,1953,1953,841,324,1165,1336,0,1336,1,1,0,2,1,5,2,1,375,0,0,90,56,"SBrkr",6,2006,157000,Jun 2006
"302","RL","IR3","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","TA","BuiltIn","Fin","TA","TA","Y","Normal","1998",60,16226,8,5,1998,1999,281,747,1028,1210,1242,2452,0,2,1,4,1,9,1,2,683,208,50,66,0,"SBrkr",5,2007,267000,May 2007
"303","RL","IR1","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","2001",20,13704,7,5,2001,2002,0,1541,1541,1541,0,1541,0,2,0,3,1,6,1,3,843,468,81,118,150,"SBrkr",1,2006,205000,Jan 2006
"304","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","TA","PConc","TA","No","ALQ","TA","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Abnorml","1975",20,9800,5,7,1972,1972,894,0,894,894,0,894,1,1,0,3,1,5,0,2,552,256,0,70,0,"SBrkr",7,2006,149900,Jul 2006
"305","RM","Reg","Lvl","OldTown","1Fam","2.5Fin","CemntBd","CmentBd","TA","BrkTil","TA","No","Unf","Ex","Y","Gd","Typ","Ex","Attchd","Unf","TA","TA","Y","Normal","2003",75,18386,7,9,1880,2002,0,1470,1470,1675,1818,3493,0,3,0,3,1,10,1,3,870,302,0,87,0,"SBrkr",5,2008,295000,May 2008
"306","RL","Reg","Lvl","CollgCr","1Fam","1Story","CemntBd","CmentBd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Normal","2004",20,10386,8,5,2004,2005,1464,536,2000,2000,0,2000,1,2,0,3,1,8,0,3,888,168,0,80,246,"SBrkr",7,2007,305900,Jul 2007
"307","RL","Reg","Lvl","SawyerW","1Fam","2Story","HdBoard","Plywood","Gd","CBlock","Gd","No","ALQ","Gd","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1990",60,13474,7,5,1990,1991,700,0,700,1122,1121,2243,1,2,1,4,1,8,1,3,746,127,44,116,246,"SBrkr",6,2007,225000,Jun 2007
"308","RM","IR1","Lvl","IDOTRR","1Fam","1.5Fin","MetalSd","MetalSd","TA","CBlock","TA","No","Unf","TA","Y","Fa","Typ","None","None","None","None","None","N","Normal","None",50,7920,6,7,1920,1950,0,319,319,1035,371,1406,0,1,0,3,1,6,0,0,0,0,144,98,0,"FuseA",3,2008,89500,Mar 2008
"309","RL","IR1","Lvl","Edwards","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","BLQ","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1961",30,12342,4,5,1940,1950,262,599,861,861,0,861,0,1,0,1,1,4,0,2,539,158,0,80,0,"SBrkr",3,2009,82500,Mar 2009
"310","RL","IR1","Lvl","NridgHt","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Gd","GLQ","Ex","Y","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Normal","2003",20,12378,9,5,2003,2004,1274,622,1896,1944,0,1944,1,2,0,3,1,8,3,3,708,208,175,90,0,"SBrkr",11,2006,360000,Nov 2006
"311","RL","IR1","Lvl","Gilbert","1Fam","2Story","HdBoard","HdBoard","TA","PConc","Gd","No","ALQ","Gd","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1993",60,7685,6,5,1993,1994,518,179,697,697,804,1501,0,2,1,3,1,6,1,2,420,190,63,64,112,"SBrkr",5,2006,165600,May 2006
"312","RL","Reg","Lvl","NAmes","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Normal","1948",20,8000,6,6,1948,2002,680,292,972,972,0,972,1,1,0,2,1,5,1,1,240,0,0,50,0,"SBrkr",5,2009,132000,May 2009
"313","RM","Reg","Lvl","OldTown","2fmCon","1.5Fin","MetalSd","MetalSd","TA","CBlock","Gd","Mn","Rec","TA","Y","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Normal","1939",190,7800,5,7,1939,1950,507,286,793,793,325,1118,1,1,0,3,1,5,1,2,410,0,0,65,0,"SBrkr",5,2006,119900,May 2006
"314","RL","IR3","Low","Timber","1Fam","1Story","BrkFace","BrkFace","TA","CBlock","Gd","Gd","ALQ","TA","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1965",20,215245,7,5,1965,1965,1236,80,2136,2036,0,2036,2,2,0,3,1,8,2,2,513,0,0,150,0,"SBrkr",6,2009,375000,Jun 2009
"315","RM","Reg","Lvl","OldTown","1Fam","2Story","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","LwQ","Ex","Y","Ex","Typ","Gd","Detchd","Unf","Fa","TA","Y","Normal","1925",70,9600,7,7,1925,1990,16,712,728,832,809,1641,0,1,1,3,1,6,1,2,546,0,0,60,0,"SBrkr",8,2006,178000,Aug 2006
"316","RL","IR1","Lvl","Gilbert","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2004",60,7795,7,5,2004,2005,425,291,716,716,716,1432,1,2,1,3,1,6,1,2,432,100,51,71,0,"SBrkr",7,2009,188500,Jul 2009
"317","RL","IR1","Lvl","NWAmes","1Fam","2Story","CemntBd","CmentBd","Gd","CBlock","Gd","No","GLQ","TA","Y","Ex","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1983",60,13005,7,7,1980,1980,692,153,845,1153,1200,2353,1,2,1,4,1,10,1,2,484,288,195,94,278,"SBrkr",8,2009,260000,Aug 2009
"318","FV","Reg","Lvl","Somerst","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","Unf","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2006",60,9000,8,5,2006,2006,0,1088,1088,1088,871,1959,0,2,1,3,1,8,1,3,1025,208,46,75,0,"SBrkr",12,2007,270000,Dec 2007
"319","RL","Reg","Low","NoRidge","1Fam","2Story","HdBoard","HdBoard","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1993",60,9900,7,5,1993,1993,987,360,1347,1372,1274,2646,1,2,1,4,1,9,1,3,656,340,60,90,256,"SBrkr",4,2009,260000,Apr 2009
"320","RL","Reg","Lvl","NWAmes","1Fam","SLvl","Plywood","Plywood","TA","CBlock","Gd","Av","GLQ","TA","Y","TA","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1980",80,14115,7,5,1980,1980,1036,336,1372,1472,0,1472,1,2,0,3,1,6,2,2,588,233,48,65,225,"SBrkr",6,2009,187500,Jun 2009
"321","RL","Reg","Lvl","NridgHt","1Fam","2Story","VinylSd","VinylSd","TA","PConc","Ex","Av","Unf","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Partial","2006",60,16259,9,5,2006,2006,0,1249,1249,1249,1347,2596,0,3,1,4,1,9,0,3,840,240,154,111,370,"SBrkr",9,2006,342643,Sep 2006
"322","RL","IR1","Lvl","NridgHt","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","GLQ","Ex","Y","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Normal","2004",60,12099,8,5,2004,2004,970,166,1136,1136,1332,2468,1,2,1,4,1,10,1,3,872,184,154,99,388,"SBrkr",6,2007,354000,Jun 2007
"323","RL","IR1","Lvl","SawyerW","1Fam","2Story","Plywood","Plywood","Gd","CBlock","TA","Gd","LwQ","Ex","Y","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1987",60,10380,7,5,1986,1987,28,0,1502,1553,1177,2730,1,2,1,4,1,8,1,2,576,201,96,86,172,"SBrkr",8,2007,301000,Aug 2007
"324","RM","Reg","Lvl","OldTown","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","None","Attchd","Unf","Fa","TA","Y","Normal","1955",20,5820,3,8,1955,2005,256,906,1162,1163,0,1163,1,1,0,3,1,6,0,1,220,142,98,49,0,"SBrkr",7,2006,126175,Jul 2006
"325","RL","Reg","Lvl","NAmes","1Fam","SLvl","Wd Sdng","Wd Sdng","Gd","CBlock","Gd","No","Unf","Ex","Y","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Normal","1961",80,11275,7,7,1967,2007,0,710,710,1898,1080,2978,0,2,1,5,1,11,1,2,564,240,0,96,300,"SBrkr",6,2010,242000,Jun 2010
"326","RM","Reg","Lvl","IDOTRR","1Fam","1.5Unf","MetalSd","MetalSd","TA","CBlock","TA","Av","BLQ","Po","N","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1941",45,5000,5,6,1941,1950,116,604,720,803,0,803,0,1,0,2,1,5,0,2,360,0,0,50,0,"FuseF",12,2007,87000,Dec 2007
"327","RL","IR1","Lvl","Veenker","TwnhsE","1Story","BrkFace","BrkFace","Gd","PConc","Gd","Gd","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1993",120,10846,8,5,1993,1993,1619,100,1719,1719,0,1719,2,1,1,1,1,6,2,2,473,122,30,32,0,"SBrkr",5,2008,324000,May 2008
"328","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","TA","Y","TA","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1960",20,11600,6,5,1960,1960,565,818,1383,1383,0,1383,0,1,1,3,1,7,0,1,292,0,45,80,175,"SBrkr",4,2006,145250,Apr 2006
"329","RL","IR1","Bnk","BrkSide","1Fam","2.5Unf","Wd Sdng","Wd Shng","TA","BrkTil","TA","No","Unf","Gd","N","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1930",75,11888,6,6,1916,1994,0,844,844,1445,689,2134,0,2,0,5,1,10,0,2,441,0,60,79,0,"FuseA",7,2009,214500,Jul 2009
"330","RM","Reg","Lvl","IDOTRR","1Fam","2Story","Wd Sdng","Wd Shng","TA","PConc","TA","Mn","Unf","TA","N","TA","Typ","None","Detchd","Unf","Fa","Fa","N","Normal","1920",70,6402,5,5,1920,1950,0,596,596,596,596,1192,0,1,0,3,1,6,0,1,189,0,0,60,0,"SBrkr",7,2009,78000,Jul 2009
"331","RL","IR1","Lvl","NAmes","Duplex","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","GLQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","2002",90,10624,5,4,1964,1964,40,1424,1728,1728,0,1728,0,2,0,6,2,10,0,1,352,155,0,83,84,"SBrkr",11,2007,119000,Nov 2007
"332","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","Fa","Y","TA","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1958",20,8176,5,6,1958,1992,846,210,1056,1056,0,1056,1,1,0,3,1,6,0,1,308,0,0,70,0,"SBrkr",8,2007,139000,Aug 2007
"333","RL","IR1","Lvl","NridgHt","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2003",20,10655,8,5,2003,2004,1124,1603,3206,1629,0,1629,1,2,0,3,1,7,1,3,880,0,0,85,296,"SBrkr",10,2009,284000,Oct 2009
"334","RM","Reg","Lvl","NridgHt","TwnhsE","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2004",120,8198,7,5,2004,2004,720,638,1358,1358,0,1358,1,2,0,2,1,6,1,2,484,192,30,59,146,"SBrkr",7,2008,207000,Jul 2008
"335","RL","IR1","Lvl","Gilbert","1Fam","2Story","VinylSd","VinylSd","TA","PConc","Gd","Gd","GLQ","Gd","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1998",60,9042,6,5,1998,1998,828,115,943,943,695,1638,1,2,1,3,1,7,2,2,472,100,38,59,0,"SBrkr",7,2008,192000,Jul 2008
"336","RL","IR1","HLS","Timber","2fmCon","1.5Fin","Plywood","Plywood","TA","CBlock","TA","Gd","ALQ","Ex","Y","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1965",190,164660,5,6,1965,1965,1249,103,1499,1619,167,1786,2,2,0,3,1,7,2,2,529,670,0,50,0,"SBrkr",8,2008,228950,Aug 2008
"337","RL","IR1","HLS","StoneBr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Gd","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2005",20,14157,9,5,2005,2006,1249,673,1922,1922,0,1922,1,2,0,3,1,8,1,3,676,178,51,86,200,"SBrkr",7,2007,377426,Jul 2007
"338","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2002",20,9135,7,5,2002,2003,810,726,1536,1536,0,1536,1,2,0,3,1,7,0,2,532,192,74,70,113,"SBrkr",12,2008,214000,Dec 2008
