"","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","SaleType","SaleCondition","GarageYrBlt","Id","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","LotFrontage","MasVnrType","MasVnrArea","Electrical"
"11","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","None","None","None","WD","Normal","1965",11,20,11200,5,5,1965,1965,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,2008,129500,70,"None",0,"SBrkr"
"12","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Hip","CompShg","WdShing","Wd Shng","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","None","None","None","New","Partial","2005",12,60,11924,9,5,2005,2006,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,2006,345000,85,"Stone",286,"SBrkr"
"13","RL","Pave","None","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","Plywood","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","None","None","None","WD","Normal","1962",13,20,12968,5,6,1962,1962,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,2008,144000,75,"None",0,"SBrkr"
"14","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","New","Partial","2006",14,20,10652,7,5,2006,2007,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,2007,279500,91,"Stone",306,"SBrkr"
"15","RL","Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","TA","Typ","Fa","Attchd","RFn","TA","TA","Y","None","GdWo","None","WD","Normal","1960",15,20,10920,6,5,1960,1960,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,2008,157000,79,"BrkFace",212,"SBrkr"
"16","RM","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","None","GdPrv","None","WD","Normal","1991",16,45,6120,7,8,1929,2001,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,2007,132000,51,"None",0,"FuseA"
"17","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","None","None","Shed","WD","Normal","1970",17,20,11241,6,7,1970,1970,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,149000,44,"BrkFace",180,"SBrkr"
"18","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story","Gable","CompShg","MetalSd","MetalSd","TA","TA","Slab","None","None","None","None","None","GasA","TA","Y","TA","Typ","None","CarPort","Unf","TA","TA","Y","None","None","Shed","WD","Normal","1967",18,90,10791,4,5,1967,1967,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,2006,90000,72,"None",0,"SBrkr"
"19","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","None","None","None","WD","Normal","2004",19,20,13695,5,5,2004,2004,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,2008,159000,66,"None",0,"SBrkr"
"20","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","BrkFace","Plywood","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","TA","Y","TA","Min1","None","Attchd","Unf","TA","TA","Y","None","MnPrv","None","COD","Abnorml","1958",20,20,7560,5,6,1958,1965,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,2009,139000,70,"None",0,"SBrkr"
"21","RL","Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","None","None","None","New","Partial","2005",21,60,14215,8,5,2005,2006,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,2006,325300,101,"BrkFace",380,"SBrkr"
"22","RM","Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","Unf","TA","TA","N","None","GdPrv","None","WD","Normal","1930",22,45,7449,7,7,1930,1950,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,2007,139400,57,"None",0,"FuseF"
"23","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2002",23,20,9742,8,5,2002,2002,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,2008,230000,75,"BrkFace",281,"SBrkr"
"24","RM","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story","Gable","CompShg","CemntBd","CmentBd","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","TA","Y","TA","Typ","TA","Attchd","Unf","TA","TA","Y","None","None","None","WD","Normal","1976",24,120,4224,5,7,1976,1976,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,2007,129900,44,"None",0,"SBrkr"
"25","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","Plywood","Plywood","TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ","GasA","Ex","Y","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","None","MnPrv","None","WD","Normal","1968",25,20,8246,5,8,1968,2001,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,2010,154000,65,"None",0,"SBrkr"
"26","RL","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2007",26,20,14230,8,5,2007,2007,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,2009,256300,110,"Stone",640,"SBrkr"
"27","RL","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","TA","TA","Mn","BLQ","Rec","GasA","TA","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","None","None","None","WD","Normal","2005",27,20,7200,5,7,1951,2000,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,2010,134800,60,"None",0,"SBrkr"
"28","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2008",28,20,11478,8,5,2007,2008,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,2010,306000,98,"Stone",200,"SBrkr"
"29","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","TA","TA","Gd","BLQ","Unf","GasA","TA","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","1957",29,20,16321,5,6,1957,1997,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,2006,207500,47,"None",0,"SBrkr"
"30","RM","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Fa","N","Fa","Typ","None","Detchd","Unf","Fa","TA","Y","None","None","None","WD","Normal","1920",30,30,6324,4,6,1927,1950,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,2008,68500,60,"None",0,"SBrkr"
"31","C (all)","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story","Gambrel","CompShg","BrkFace","BrkFace","TA","Fa","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","N","TA","Typ","None","Detchd","Unf","TA","Fa","N","None","MnPrv","None","WD","Normal","1920",31,70,8500,4,4,1920,1950,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,2008,40000,50,"None",0,"SBrkr"
"32","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Gd","Y","Gd","Typ","None","Attchd","Unf","TA","TA","Y","None","MnPrv","None","WD","Normal","1966",32,20,8544,5,6,1966,2006,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,2008,149350,37,"None",0,"SBrkr"
"33","RL","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2007",33,20,11049,8,5,2007,2007,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,2008,179900,85,"None",0,"SBrkr"
"34","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","BrkFace","BrkFace","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","1959",34,20,10552,5,5,1959,1959,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,165500,70,"None",0,"SBrkr"
"35","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","None","None","None","WD","Normal","2005",35,120,7313,9,5,2005,2005,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,2007,277500,60,"BrkFace",246,"SBrkr"
"36","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","None","None","None","WD","Normal","2004",36,60,13418,8,5,2004,2005,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,2006,309000,108,"Stone",132,"SBrkr"
"37","RL","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","None","None","None","WD","Normal","1995",37,20,10859,5,5,1994,1995,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,2009,145000,112,"None",0,"SBrkr"
"38","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","None","None","None","WD","Normal","1954",38,20,8532,5,6,1954,1990,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,2009,153000,74,"BrkFace",650,"SBrkr"
"39","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","TA","Gd","CBlock","TA","TA","No","GLQ","Unf","GasA","TA","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","None","None","None","WD","Abnorml","1953",39,20,7922,5,7,1953,2007,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,109000,68,"None",0,"SBrkr"
"40","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story","Gable","CompShg","AsbShng","Plywood","TA","TA","PConc","None","None","None","None","None","GasA","TA","N","Fa","Typ","None","None","None","None","None","N","None","None","None","WD","AdjLand","None",40,90,6040,4,5,1955,1955,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,2008,82000,65,"None",0,"FuseP"
"41","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","None","GdWo","None","WD","Abnorml","1965",41,20,8658,6,5,1965,1965,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,160000,84,"BrkFace",101,"SBrkr"
"42","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","TA","Gd","CBlock","TA","TA","Gd","BLQ","Unf","GasA","Gd","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","P","None","None","None","WD","Normal","1959",42,20,16905,5,6,1959,1959,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,2007,170000,115,"None",0,"SBrkr"
"43","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer","Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","Gd","TA","Av","ALQ","LwQ","GasA","Gd","Y","Gd","Typ","None","Attchd","RFn","TA","Gd","Y","None","MnPrv","None","WD","Normal","1983",43,85,9180,5,7,1983,1983,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,144000,93,"None",0,"SBrkr"
"44","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","TA","TA","CBlock","Gd","TA","Av","LwQ","BLQ","GasA","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","None","MnPrv","None","WD","Normal","1977",44,20,9200,5,6,1975,1980,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,2008,130250,44,"None",0,"SBrkr"
"45","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","BrkFace","Wd Sdng","TA","TA","CBlock","TA","TA","No","ALQ","BLQ","GasA","Ex","Y","TA","Typ","None","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","1959",45,20,7945,5,6,1959,1959,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,2006,141000,70,"None",0,"FuseA"
"46","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","Ex","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2005",46,120,7658,9,5,2005,2005,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,2010,319900,61,"BrkFace",412,"SBrkr"
"47","RL","Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","Gd","Typ","Ex","Attchd","RFn","TA","TA","Y","None","None","None","WD","Abnorml","2003",47,50,12822,7,5,2003,2003,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,2009,239686,48,"None",0,"SBrkr"
"48","FV","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2006",48,20,11096,8,5,2006,2006,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,2007,249700,84,"None",0,"SBrkr"
"49","RM","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","TA","Typ","None","None","None","None","None","N","None","None","None","New","Partial","None",49,190,4456,4,5,1920,2008,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,2009,113000,33,"None",0,"SBrkr"
